#x_m,y_m
0,0
-2.91,0.54
-7.09,1.33
-10.8,2.06
-14.23,2.75
-17.5,3.6
-22.19,4.48
-26.7,5.22
-30.99,6.14
-35.59,7.21
-40.16,7.98
-43.98,8.82
-48.69,9.5
-52.49,10.46
-56.93,11.32
-60.77,12.38
-65.41,13.25
-69.77,14.14
-73.83,14.91
-78.22,15.69
-81.93,16.58
-86.07,17.27
-90.8,18.32
-95.71,19.19
-101.3,20.45
-105.81,21.19
-110.77,22.21
-116.11,22.96
-120.8,23.78
-124.98,24.97
-130.25,25.89
-136.68,26.94
-141.53,28.16
-145.96,29.36
-150.37,30.42
-155.42,31.35
-163.18,32.98
-168.35,34.35
-172.09,34.69
-175.98,35.64
-181.04,36.91
-186.57,38.44
-190.67,39.35
-195.2,40.56
-200.84,41.95
-205.84,43.14
-210.48,44.27
-215.31,45.5
-220.05,45.88
-224.5,46.81
-228.44,47.77
-233.69,49.4
-237.48,50.89
-241.8,52.39
-245.07,54.15
-249.44,55.98
-252.11,58.54
-254.15,60.99
-256.94,63.77
-259.5,66.64
-262.4,70.02
-264.23,73.35
-265.74,76.22
-267.2,79.16
-268.88,83.21
-270.61,86.88
-272.39,91.27
-274.05,95.58
-275.35,99.96
-277.99,103.43
-279.63,105.65
-281.75,108.99
-284.67,111.89
-288.63,114.45
-291.4,115.87
-294.77,116.92
-297.34,118.48
-301.71,119.21
-306.17,121.03
-310.33,121.88
-314.69,123.16
-318.62,124.29
-322.94,125.1
-326.92,126.48
-331.01,127.96
-335.06,129.58
-338.99,131.45
-341.16,132.9
-345.01,135.62
-347.51,138.88
-349.44,142.19
-350.47,145.67
-351.06,149.12
-351.58,153.92
-352.17,159.64
-352.47,165.25
-353.29,171.37
-354.02,177.78
-354.52,181.9
-354.82,185.58
-355.25,189.84
-355.58,193.98
-355.89,197.79
-356.46,202.59
-356.79,206.57
-357.25,210.94
-357.6,215.15
-358.03,220.23
-358.49,226.63
-359.26,233.5
-359.57,237.01
-359.98,240.63
-360.31,244.38
-360.6,247.58
-361.2,251.91
-361.59,256.02
-362.39,262.18
-362.43,267.13
-363.02,272.52
-363.43,275.88
-363.83,279.15
-363.97,283.56
-364.72,289.06
-364.89,293.93
-365.47,299.22
-365.78,302.26
-366.08,305.12
-366.46,308.84
-366.84,312.49
-366.97,316.71
-367.55,321.53
-367.66,325
-367.96,329.36
-368.18,333.05
-368.12,337.06
-368.34,340.82
-368.08,343.51
-367.98,346.77
-367.44,350.25
-367.04,353.65
-366.17,357.72
-365.24,361.68
-364.03,365.48
-363.07,368.72
-361.94,372.28
-360.79,375.9
-359.06,379.26
-357.21,382.86
-356.12,385.87
-354.52,388.42
-352.98,391.79
-350.84,395.08
-349.3,398.23
-347.74,400.85
-345.94,403.55
-344.35,405.53
-342.28,408.66
-340.25,411.92
-337.61,415.16
-335.23,418.78
-333.25,421.59
-331.15,424.64
-329.37,427.35
-327.03,430.6
-324.91,434.37
-322.63,437.6
-320.7,441.14
-318.63,444.27
-316.41,448.48
-313.7,452.21
-311.88,455.52
-309.97,459.13
-308.25,462.54
-306.59,466.08
-304.97,469.73
-303.34,473.83
-301.54,478.2
-300.48,483.07
-299.96,487.36
-299.83,492.64
-300.3,498.42
-301.94,503.5
-302.97,507.14
-305.45,511.38
-308.14,515.6
-311.18,519.78
-314.33,523.92
-317.98,527.85
-322.08,530.54
-327.19,533.57
-332.41,535.92
-338.35,536.82
-343.77,537.93
-348.7,537.7
-354.41,537.86
-361.6,535.29
-367.15,534.59
-372.69,531.76
-376.78,529.22
-381.28,526.26
-386.25,522.05
-389.78,518.05
-394.24,512.61
-397.81,508.05
-401.14,503.65
-404.5,499.39
-407.51,495.81
-411.11,491.56
-415.19,487.02
-419.03,482.48
-423.02,477.16
-426.24,473.43
-429.02,469.4
-432.67,465.57
-435.7,462.52
-439.04,458.45
-443.33,453.95
-447.61,449.32
-451.27,444.43
-454.94,440.4
-458.39,436.17
-461.96,431.26
-465.75,426.97
-468.78,423.48
-471.72,419.67
-474.59,416.14
-476.87,413.12
-479.1,410.08
-481.87,406.48
-484.85,402.4
-489.34,397.02
-492.73,392.13
-495.72,384.75
-496.57,377.32
-496.85,369.05
-495.48,362.28
-493.67,355.22
-491.67,348.31
-489.23,340.71
-485.92,332.4
-482.67,326.51
-479.92,321.11
-476.35,315
-473.23,308.43
-468.99,301.53
-466.05,295.33
-463.58,289.62
-460.78,283.86
-457.89,276.79
-454.99,268.89
-453,260.74
-451.34,253.59
-449.57,244.96
-448.56,237.36
-447.37,229.99
-447.47,223.06
-448.57,216.17
-449.83,209.13
-450.26,202.21
-450.84,195.25
-453.43,188.56
-454.68,179.85
-456,170.43
-456.78,162.9
-457.43,156.4
-457.16,149.2
-456.65,141.56
-455.86,135.47
-454.09,129.58
-452.29,122.97
-450.78,117.32
-449.17,112.44
-447.09,106.41
-444.85,100.31
-442.5,94.76
-440.37,89.13
-438.07,83.39
-436.4,78.11
-434.4,72.97
-432.57,67.33
-429.66,61.47
-428.29,56.54
-426.65,52.75
-425.51,48.13
-424.05,43.6
-422.57,38.49
-420.64,34.36
-419.01,29.1
-418.99,22.56
-421.21,16.93
-423.86,12.8
-427.36,8.69
-430.68,5.16
-434.97,3.35
-439.79,1.71
-445.4,0.9
-452.06,2.65
-456.59,5.18
-460.77,7.91
-463.91,11.22
-467.24,14.57
-472.01,19.25
-475.46,23.38
-479.68,27.71
-484.5,31.37
-488.84,36.38
-493.6,40.16
-497.7,44.04
-501.85,47.97
-505.51,52.15
-511.12,56.67
-515.27,60.96
-519.03,63.96
-523.27,68
-527.43,72.73
-532.55,76.45
-537.03,80.79
-540.22,84.26
-544.02,87.95
-548.12,91.61
-551.69,95.54
-556.26,99.32
-560.29,103.25
-564.41,107.64
-568.78,111.18
-573.04,116.13
-578.73,119.93
-583.32,123.98
-588,128.32
-592.92,132.16
-599.2,136.71
-606.88,141.66
-614.93,145.99
-623.57,150.72
-629.81,153.15
-638.49,154.63
-646.23,155.86
-655.42,156.96
-662.73,156.69
-669.74,156.21
-680.06,155.42
-687.12,153.47
-693.96,151.52
-699.3,149.08
-706.93,145.43
-713.4,142.4
-719.1,139.09
-725.16,135.14
-729.57,131.57
-733.79,128.17
-737.69,123.67
-741.58,118.89
-745.13,114.12
-749.08,109.82
-753.23,103.93
-756.9,97.53
-762.42,91.57
-766.71,83.99
-773.56,76.82
-779.02,68.83
-784.49,61.17
-789.26,54.34
-793.71,48.68
-800.01,40.87
-805.21,34.47
-809.27,27.77
-813.66,21.75
-817.48,16.28
-821.47,10.77
-825.41,5.05
-828.72,0.27
-831.36,-3.95
-835.3,-8.36
-838.21,-12.38
-841.88,-16.9
-845.11,-21.54
-848.48,-26.07
-852.12,-30.95
-855.27,-34.94
-859.49,-40.13
-862.97,-45.05
-866.29,-49.41
-869.98,-54.65
-873.01,-58.93
-876.39,-63.38
-879.88,-68.23
-884.55,-73.88
-886.44,-78.02
-887.13,-81.81
-888,-86.22
-887.36,-90.89
-885.2,-96.32
-882.02,-100.55
-878.5,-103.9
-875.18,-106.46
-871.29,-109.15
-866.9,-110.84
-863.6,-112.01
-858.13,-112.87
-853.85,-113.6
-847.34,-113.12
-841.33,-111.76
-837.16,-110.48
-832.81,-108.87
-829.21,-107.24
-826.16,-105.48
-823.46,-103.33
-820.6,-101.62
-817.51,-99.06
-814.69,-97.09
-811.5,-94.9
-808.55,-92.93
-805.77,-90.94
-802.2,-88.21
-798.97,-86.04
-796.25,-84.2
-793.97,-82.42
-791.27,-80.66
-788.47,-78.65
-785.55,-76.56
-783.11,-75.17
-779.78,-72.75
-777.35,-70.94
-774.65,-69.01
-771.28,-66.75
-768.23,-64.86
-764.99,-61.92
-761.92,-59.72
-758.38,-57.62
-754.93,-55.43
-751.09,-52.77
-748.03,-50.41
-745.32,-48.64
-742.33,-46.66
-739.59,-44.55
-736.93,-42.51
-733.72,-40.17
-730.83,-38.3
-728.17,-36.64
-725.24,-34.6
-722.4,-32.78
-718.79,-30.27
-715.34,-27.42
-712.32,-25.28
-708.88,-22.85
-706.16,-21.02
-702.73,-18.24
-698.63,-15.56
-694.67,-12.47
-691.43,-10.06
-688.63,-8.32
-686.12,-6.56
-683.16,-4.04
-680.34,-2.13
-677.14,-0.19
-674.25,2.36
-670.75,5.12
-667.49,7.12
-664.02,9.76
-660.6,12.11
-657.42,13.64
-653.67,15.46
-650.69,17.07
-646.74,18.99
-642.62,20.65
-638.85,21.72
-634.76,22.36
-629.53,22.21
-624.12,21.22
-619.46,20.43
-615.36,18.88
-611.5,16.48
-608.71,14.73
-605.91,12.46
-602.37,9.87
-599.05,7.09
-596.18,4.09
-593.73,0.96
-591.4,-2.03
-588.07,-6.31
-584.97,-10.69
-582.03,-14.66
-579.39,-18.26
-577.17,-21.55
-574.76,-24.69
-572.44,-28.12
-570.22,-31.23
-567.86,-33.87
-565.92,-36.86
-562.8,-41.28
-559.72,-44.98
-556.96,-49.33
-554.38,-52.66
-551.56,-56.66
-548.49,-61.03
-545.07,-65.3
-542.68,-69.05
-539.84,-72.65
-537.66,-75.08
-535.4,-78.26
-533.72,-80.6
-531.23,-84.18
-529.29,-87.16
-526.76,-90.98
-524.24,-93.16
-521.04,-95.72
-516.67,-97.9
-513.61,-99.26
-510.02,-101.52
-506.71,-102.92
-503,-103.85
-499.8,-104.32
-495.19,-105.07
-491.27,-105.45
-487.44,-105.76
-483.07,-106.01
-479.33,-106.02
-475.44,-106.05
-470.79,-106.14
-466.48,-106.3
-462.72,-106.11
-458.36,-106.18
-454.76,-106.2
-450.74,-106.51
-447.81,-106.92
-444.49,-106.73
-441.04,-107.28
-437.04,-106.96
-434.4,-107.19
-431.08,-107.24
-427.53,-107.43
-424.05,-107.44
-420.16,-107.39
-416.24,-107.2
-412.15,-107.4
-408.18,-107.08
-404.73,-107.52
-400.69,-107.81
-396.83,-107.73
-393.58,-107.98
-390.04,-108.05
-385.79,-108.06
-381.79,-108.26
-377.36,-108.57
-373.47,-108.71
-369.52,-108.45
-365.81,-108.73
-361.17,-108.83
-356.63,-108.85
-352.51,-109.16
-348.14,-109.33
-344.65,-109.65
-339.77,-109.52
-335.5,-109.73
-331.13,-109.71
-327.13,-109.76
-322.88,-110.24
-318.96,-110.28
-314.73,-109.93
-310.78,-110.43
-306.29,-110.67
-302.57,-110.95
-298.76,-111.11
-294.9,-110.77
-290.53,-111.17
-286.32,-111.23
-283.22,-111.54
-278.93,-111.67
-274.84,-111.57
-270.22,-111.68
-266.14,-111.81
-261.56,-112.22
-257.69,-112.58
-254,-112.59
-250.23,-112.55
-245.53,-112.37
-241.96,-113.21
-237.67,-113.53
-233,-113.01
-228.24,-113.27
-223.53,-113.23
-219.38,-113.2
-215.14,-113.26
-211.41,-113.24
-207.02,-113.1
-202.71,-113.46
-197.85,-113.5
-194.48,-113.51
-190.04,-113.56
-186.52,-113.66
-183.84,-113.83
-180.01,-113.75
-175.21,-113.71
-171.03,-113.98
-167.1,-113.98
-162.39,-114.03
-158.51,-114.11
-153.75,-114.28
-149.72,-114.19
-145.62,-114.17
-142.09,-114.26
-138.23,-114.15
-134.26,-114.25
-130.52,-114.27
-125.9,-114.81
-121.68,-114.98
-117.41,-115.01
-113.79,-115.15
-110.35,-115.45
-106.24,-115.44
-101.62,-115.55
-97.45,-115.6
-93.83,-115.31
-89.73,-115.17
-86.3,-115.31
-83.58,-115.25
-79.72,-115.48
-76.32,-115.58
-73.38,-115.62
-69.73,-115.45
-66.13,-115.62
-62.72,-115.81
-58.82,-116.14
-55.19,-116.06
-51.25,-116.13
-47.94,-116.14
-44.17,-116.37
-40.11,-116.4
-35.75,-116.37
-32.43,-116.72
-29.17,-116.8
-25.56,-117.05
-21.57,-117.11
-17.69,-116.85
-14.45,-117.04
-10.64,-117.12
-8.2,-117.17
-4.56,-117.16
-1.31,-117.34
2.46,-117.31
5.92,-117.47
9.44,-117.64
12.28,-117.74
15.78,-117.81
19.36,-117.8
22.54,-117.82
26.34,-118.21
29.71,-118.22
33.32,-118.54
36.87,-118.37
39.71,-118.71
42.74,-118.8
45.32,-118.83
48.48,-118.91
51.99,-119.07
55.41,-119.24
58.81,-119.48
62.14,-119.48
65.98,-119.65
69.03,-119.63
72.37,-119.75
76.13,-120.07
79.69,-120.13
83.39,-120.27
86.56,-120.44
89.94,-120.29
93.53,-120.26
97.33,-120.36
100.71,-120.25
104.08,-120.5
107.46,-120.44
111.03,-120.59
114.63,-120.88
117.7,-120.9
121.26,-120.98
125.01,-121.21
127.98,-121.27
131.71,-121.29
135.65,-121.15
139.98,-121.39
143.67,-121.45
147.22,-121.8
152.31,-121.59
155.94,-122.01
158.98,-122.03
163.17,-122.2
167.83,-122.06
171.8,-122.07
175.4,-122.23
179.91,-122.07
183.97,-122.28
188.21,-122.12
192.76,-122.37
196.27,-122.6
199.12,-122.47
202.85,-122.83
206.96,-122.91
210.93,-123.05
215.08,-123.18
218.6,-123.22
221.98,-123.38
225.4,-123.42
229.07,-123.11
232.94,-122.93
236.81,-122.88
241.09,-122.59
245.2,-122.23
249.24,-121.77
253.44,-121.17
256.9,-120.28
260.4,-119.78
263.51,-118.95
266.64,-118.12
270.03,-116.92
273.11,-115.78
275.89,-114.58
278.99,-113.41
281.73,-112.03
285.44,-110.84
287.74,-109.69
289.81,-108.53
292.7,-107.11
296.22,-105.22
299.98,-103.34
303.53,-101.36
306.33,-99.83
309.39,-98.11
313.67,-96.41
316.42,-94.54
318.75,-93.23
320.99,-91.9
323.07,-90.57
325.59,-89.25
327.94,-87.73
330.33,-86.39
332.96,-84.81
335.92,-83.19
339.19,-81.02
342.44,-79.09
346.07,-77.02
349.36,-75.24
351.85,-73.59
354.06,-72.28
356.3,-70.75
359.28,-68.85
361.69,-67.02
364.09,-65.06
365.59,-63.26
367.37,-60.92
368.79,-57.87
369.83,-55.33
370.92,-52.03
371.46,-49.31
371.92,-46.86
372.21,-43.35
372.4,-40.56
372.55,-36.59
372.44,-34.24
372.68,-30.03
372.77,-26.36
372.97,-22.78
373.33,-18.58
373.39,-15.24
373.63,-12.03
373.85,-8.32
374.08,-5.23
374.45,-1.83
374.34,2.08
374.5,5.39
374.74,8.14
374.69,11.13
374.75,13.89
374.89,16.79
375.13,19.57
375.29,23.48
375.37,26.61
375.5,30.28
375.59,34.12
375.95,37.32
375.94,40.79
376.24,44.35
376.44,48.78
376.74,53.26
376.94,58.37
377.13,62.97
377.19,65.97
377.23,69.48
377.14,72.9
376.5,76.52
375.63,79.85
374.71,83.31
373.61,86.82
371.93,90.28
369.94,93.27
367.93,96.06
365.25,98.81
362.86,101.13
360.17,103.73
356.79,106.6
354.24,108.44
351.63,109.84
347.8,111.46
343.6,112.6
340.5,112.83
337.04,113.28
332.83,113.69
328.72,113.61
323.75,113.12
319.61,112.68
314.8,111.1
310.14,109.19
305.82,106.95
302.57,104.47
299.59,101.55
297.01,99.05
294.69,96.14
291.99,92.75
290.14,89.45
286.94,84.83
284.25,79.65
281.56,74.16
279.5,70.38
276.97,65.28
274.43,60.95
272.5,56.93
270.4,52.98
268.02,49
265.41,44.38
263.5,40.72
261.15,36.83
259.13,33.06
257.07,29.81
255.42,26.93
253.67,23.95
252,20.19
249.03,15.57
246.65,11.38
244.12,7.06
241.69,2.81
239.86,-0.05
237.73,-3.67
235.71,-6.93
233.45,-10.86
231.21,-14.53
229.18,-17.61
227.56,-19.96
225.89,-22.58
223.83,-25.07
222.13,-27.31
220.11,-29.21
218.08,-31.14
216.08,-32.5
213.98,-33.78
211.98,-34.82
209.31,-36.03
206.91,-36.71
204.16,-37.75
200.85,-38.47
197.04,-39.01
194.43,-39.35
191.38,-39.42
188.35,-38.95
185.09,-38.42
182.01,-37.87
179.11,-37.09
176.46,-36.65
173.72,-36.11
170.61,-35.36
167.97,-34.82
165.17,-34.29
162.78,-33.95
159.91,-33.43
157.21,-32.83
154.36,-32.17
152.04,-31.88
149.69,-31.48
147.37,-30.94
145.08,-30.52
142.9,-30.09
140.97,-29.58
138.42,-29.09
136.18,-28.65
133.19,-28.17
130.58,-27.45
128.27,-26.93
125.79,-26.42
123.3,-25.85
120.78,-25.34
118.25,-24.83
115.76,-24.3
113.48,-23.84
110.89,-23.38
108.74,-22.94
106.66,-22.45
104.18,-21.9
101.87,-21.4
99.41,-20.83
96.32,-20.16
94.02,-19.57
91.48,-19.21
89.2,-18.69
87.11,-18.31
84.31,-17.82
81.64,-17.33
79.15,-16.82
76.23,-16.24
74.12,-15.67
71.8,-15.18
69.39,-14.76
67.12,-14.37
65.4,-13.85
62.97,-13.36
60.6,-12.8
58.59,-12.35
56.33,-11.72
54.49,-11.32
52.39,-10.92
49.96,-10.36
47.77,-9.9
45.57,-9.31
43.11,-8.81
41.04,-8.34
38.77,-7.76
36.43,-7.3
33.68,-6.79
31.3,-6.26
28.77,-5.8
25.69,-5.1
23.06,-4.38
20.49,-3.79
17.98,-3.32
15.05,-2.6
12.18,-2.07
8.78,-1.36
5.43,-0.64
2.66,0.19
2.07,0.17
0.03,0
