# x_m,y_m,z
-590.925675,-123.807481,-59.0925675
-594.816024,-126.943266,-59.4816024
-598.743996,-130.031796,-59.8743996
-602.712737,-133.067593,-60.2712737
-606.726542,-136.043395,-60.6726542
-610.793325,-138.946462,-61.0793325
-614.92703,-141.753403,-61.492703
-619.143024,-144.43501,-61.9143024
-623.454611,-146.959865,-62.3454611
-627.871833,-149.294765,-62.7871833
-632.400694,-151.404677,-63.2400694
-637.042543,-153.252482,-63.7042543
-641.793377,-154.798268,-64.1793377
-646.642653,-155.999399,-64.6642653
-651.571913,-156.811077,-65.1571913
-656.553289,-157.186996,-65.6553289
-661.547414,-157.080388,-66.1547414
-666.501994,-156.446038,-66.6501994
-671.350239,-155.244595,-67.1350239
-676.007924,-153.441895,-67.6007924
-680.368576,-151.009635,-68.0368576
-684.297143,-147.929416,-68.4297143
-687.627613,-144.216442,-68.7627613
-690.19179,-139.942146,-69.019179
-691.9289,-135.264967,-69.19289
-692.898161,-130.367772,-69.2898161
-693.175623,-125.382526,-69.3175623
-692.823328,-120.400394,-69.2823328
-691.914921,-115.488417,-69.1914921
-690.526075,-110.690022,-69.0526075
-688.732732,-106.027212,-68.8732732
-686.609076,-101.504822,-68.6609076
-684.224225,-97.114339,-68.4224225
-681.63469,-92.841016,-68.163469
-678.88435,-88.669102,-67.888435
-676.013608,-84.579465,-67.6013608
-673.068567,-80.543199,-67.3068567
-670.099662,-76.524214,-67.0099662
-667.129572,-72.505925,-66.7129572
-664.161554,-68.48608,-66.4161554
-661.195537,-64.464762,-66.1195537
-658.231426,-60.442037,-65.8231426
-655.269132,-56.417975,-65.5269132
-652.308563,-52.392643,-65.2308563
-649.349626,-48.366111,-64.9349626
-646.39223,-44.338447,-64.639223
-643.436287,-40.309718,-64.3436287
-640.481697,-36.279995,-64.0481697
-637.528398,-32.249327,-63.7528398
-634.576419,-28.217692,-63.4576419
-631.625834,-24.185036,-63.1625834
-628.676718,-20.151306,-62.8676718
-625.729143,-16.116449,-62.5729143
-622.783183,-12.080413,-62.2783183
-619.838912,-8.043145,-61.9838912
-616.896403,-4.004592,-61.6896403
-613.95573,0.035298,-61.395573
-611.016968,4.076577,-61.1016968
-608.080189,8.119299,-60.8080189
-605.145252,12.163356,-60.5145252
-602.210077,16.207204,-60.2210077
-599.268032,20.246032,-59.9268032
-596.31166,24.274416,-59.631166
-593.334885,28.287781,-59.3334885
-590.331834,32.281525,-59.0331834
-587.296539,36.250809,-58.7296539
-584.223115,40.190636,-58.4223115
-581.105803,44.09582,-58.1105803
-577.938999,47.960969,-57.7938999
-574.717283,51.780454,-57.4717283
-571.435453,55.548392,-57.1435453
-568.088542,59.258633,-56.8088542
-564.671893,62.904726,-56.4671893
-561.181189,66.479943,-56.1181189
-557.611491,69.976298,-55.7611491
-553.956882,73.38378,-55.3956882
-550.211785,76.691491,-55.0211785
-546.371281,79.887911,-54.6371281
-542.431245,82.960846,-54.2431245
-538.388444,85.897114,-53.8388444
-534.241265,88.68395,-53.4241265
-529.991265,91.311468,-52.9991265
-525.641921,93.770994,-52.5641921
-521.197289,96.053703,-52.1197289
-516.662006,98.150403,-51.6662006
-512.041364,100.051439,-51.2041364
-507.341298,101.746469,-50.7341298
-502.56844,103.223689,-50.256844
-497.730115,104.469225,-49.7730115
-492.83453,105.46638,-49.283453
-487.893607,106.207907,-48.7893607
-482.921091,106.694915,-48.2921091
-477.930329,106.930399,-47.7930329
-472.933996,106.918713,-47.2933996
-467.944062,106.665255,-46.7944062
-462.971756,106.175405,-46.2971756
-458.027657,105.454422,-45.8027657
-453.121767,104.507705,-45.3121767
-448.263149,103.342383,-44.8263149
-443.459308,101.968463,-44.3459308
-438.716658,100.396146,-43.8716658
-434.040691,98.635332,-43.4040691
-429.435996,96.695708,-42.9435996
-424.906337,94.586738,-42.4906337
-420.454661,92.31774,-42.0454661
-416.082563,89.898903,-41.6082563
-411.790314,87.340996,-41.1790314
-407.577348,84.654466,-40.7577348
-403.442381,81.849333,-40.3442381
-399.383463,78.935212,-39.9383463
-395.398053,75.921312,-39.5398053
-391.483028,72.816511,-39.1483028
-387.634661,69.629438,-38.7634661
-383.848739,66.368418,-38.3848739
-380.120613,63.041463,-38.0120613
-376.445258,59.656285,-37.6445258
-372.817338,56.220358,-37.2817338
-369.231414,52.740623,-36.9231414
-365.683064,49.222518,-36.5683064
-362.168479,45.670668,-36.2168479
-358.683786,42.089474,-35.8683786
-355.225043,38.483195,-35.5225043
-351.788246,34.855978,-35.1788246
-348.369339,31.211881,-34.8369339
-344.964094,27.555014,-34.4964094
-341.568095,23.889556,-34.1568095
-338.176896,20.219651,-33.8176896
-334.786056,16.549413,-33.4786056
-331.39114,12.882948,-33.139114
-327.987732,9.224366,-32.7987732
-324.571448,5.577812,-32.4571448
-321.137943,1.947473,-32.1137943
-317.682929,-1.662391,-31.7682929
-314.202186,-5.24744,-31.4202186
-310.691561,-8.803222,-31.0691561
-307.146169,-12.324187,-30.7146169
-303.554742,-15.797969,-30.3554742
-299.890389,-19.194803,-29.9890389
-296.11621,-22.4692,-29.611621
-292.1984,-25.569968,-29.21984
-288.109613,-28.441008,-28.8109613
-283.831135,-31.020145,-28.3831135
-279.35575,-33.239096,-27.935575
-274.689189,-35.019589,-27.4689189
-269.853703,-36.267456,-26.9853703
-264.898374,-36.878261,-26.4898374
-259.908145,-36.748531,-25.9908145
-255.008215,-35.797677,-25.5008215
-250.36433,-33.974038,-25.036433
-246.168707,-31.284868,-24.6168707
-242.602104,-27.80036,-24.2602104
-239.80172,-23.669595,-23.980172
-237.788588,-19.100018,-23.7788588
-236.501905,-14.274703,-23.6501905
-235.873525,-9.320617,-23.5873525
-235.828256,-4.32597,-23.5828256
-236.290678,0.647865,-23.6290678
-237.182804,5.563167,-23.7182804
-238.427333,10.401676,-23.8427333
-239.949416,15.16049,-23.9949416
-241.67707,19.848817,-24.167707
-243.543247,24.48384,-24.3543247
-245.485791,29.087428,-24.5485791
-247.451778,33.681167,-24.7451778
-249.416161,38.275676,-24.9416161
-251.36692,42.875981,-25.136692
-253.293608,47.486416,-25.3293608
-255.185734,52.111137,-25.5185734
-257.032712,56.754063,-25.7032712
-258.823839,61.418807,-25.8823839
-260.548261,66.108603,-26.0548261
-262.194945,70.82623,-26.2194945
-263.752724,75.573928,-26.3752724
-265.20979,80.353471,-26.520979
-266.552506,85.166362,-26.6552506
-267.765977,90.013425,-26.7765977
-268.835113,94.894329,-26.8835113
-269.744444,99.807483,-26.9744444
-270.48071,104.749357,-27.048071
-271.045224,109.713691,-27.1045224
-271.459023,114.693104,-27.1459023
-271.737472,119.682096,-27.1737472
-271.893818,124.676437,-27.1893818
-271.941465,129.67307,-27.1941465
-271.893826,134.66959,-27.1893826
-271.765327,139.664697,-27.1765327
-271.577994,144.658219,-27.1577994
-271.362364,149.650517,-27.1362364
-271.1508,154.64263,-27.11508
-270.969871,159.636122,-27.0969871
-270.831746,164.631309,-27.0831746
-270.741973,169.627476,-27.0741973
-270.709147,174.624218,-27.0709147
-270.746877,179.620798,-27.0746877
-270.873301,184.615915,-27.0873301
-271.109058,189.607067,-27.1109058
-271.475489,194.590274,-27.1475489
-271.993981,199.559863,-27.1993981
-272.684823,204.508227,-27.2684823
-273.566999,209.425948,-27.3566999
-274.653373,214.302808,-27.4653373
-275.935879,219.131961,-27.5935879
-277.396559,223.910257,-27.7396559
-279.017003,228.636806,-27.9017003
-280.779286,233.312368,-28.0779286
-282.666001,237.939154,-28.2666001
-284.660237,242.520661,-28.4660237
-286.744578,247.061881,-28.6744578
-288.896391,251.571477,-28.8896391
-291.086579,256.062615,-29.1086579
-293.290197,260.547351,-29.3290197
-295.488262,265.034921,-29.5488262
-297.662187,269.53427,-29.7662187
-299.791644,274.054823,-29.9791644
-301.855294,278.60573,-30.1855294
-303.83115,283.195387,-30.383115
-305.696483,287.831046,-30.5696483
-307.429322,292.517845,-30.7429322
-309.009108,297.258012,-30.9009108
-310.416098,302.051749,-31.0416098
-311.624283,306.899951,-31.1624283
-312.59461,311.801694,-31.259461
-313.280344,316.750287,-31.3280344
-313.638124,321.733395,-31.3638124
-313.639577,326.72967,-31.3639577
-313.267866,331.710331,-31.3267866
-312.527266,336.64951,-31.2527266
-311.450833,341.528002,-31.1450833
-310.071334,346.32988,-31.0071334
-308.418586,351.044563,-30.8418586
-306.51931,355.665767,-30.651931
-304.398933,360.190043,-30.4398933
-302.08218,364.617077,-30.208218
-299.592562,368.949432,-29.9592562
-296.952631,373.191999,-29.6952631
-294.183631,377.351498,-29.4183631
-291.303269,381.434867,-29.1303269
-288.326169,385.448408,-28.8326169
-285.265912,389.39868,-28.5265912
-282.134791,393.292516,-28.2134791
-278.947751,397.140607,-27.8947751
-275.728206,400.961855,-27.5728206
-272.497199,404.773534,-27.2497199
-269.263526,408.582943,-26.9263526
-266.030782,412.393147,-26.6030782
-262.801849,416.206572,-26.2801849
-259.579249,420.025328,-25.9579249
-256.363962,423.850248,-25.6363962
-253.155309,427.680756,-25.3155309
-249.952454,431.516112,-24.9952454
-246.754566,435.355602,-24.6754566
-243.559456,439.19726,-24.3559456
-240.357956,443.033353,-24.0357956
-237.13231,446.849293,-23.713231
-233.864262,450.629279,-23.3864262
-230.53745,454.357714,-23.053745
-227.135909,458.017986,-22.7135909
-223.644531,461.592545,-22.3644531
-220.049134,465.062513,-22.0049134
-216.33755,468.407548,-21.633755
-212.499263,471.605908,-21.2499263
-208.520402,474.628743,-20.8520402
-204.385728,477.434946,-20.4385728
-200.083712,479.974115,-20.0083712
-195.612449,482.202585,-19.5612449
-190.988911,484.097891,-19.0988911
-186.238725,485.646062,-18.6238725
-181.383937,486.823177,-18.1383937
-176.446819,487.584099,-17.6446819
-171.460865,487.868312,-17.1460865
-166.473554,487.619589,-16.6473554
-161.543119,486.824978,-16.1543119
-156.725676,485.509249,-15.6725676
-152.073367,483.693824,-15.2073367
-147.640951,481.392517,-14.7640951
-143.487108,478.619622,-14.3487108
-139.67588,475.392012,-13.967588
-136.278142,471.732051,-13.6278142
-133.365111,467.676613,-13.3365111
-130.972401,463.293234,-13.0972401
-129.090901,458.666639,-12.9090901
-127.697046,453.870565,-12.7697046
-126.764958,448.963976,-12.6764958
-126.26884,443.993299,-12.626884
-126.180794,438.999155,-12.6180794
-126.477231,434.013564,-12.6477231
-127.141422,429.060602,-12.7141422
-128.147851,424.166623,-12.8147851
-129.462841,419.347233,-12.9462841
-131.045239,414.607304,-13.1045239
-132.853698,409.949673,-13.2853698
-134.854982,405.371661,-13.4854982
-137.022568,400.869514,-13.7022568
-139.331653,396.438269,-13.9331653
-141.758165,392.070047,-14.1758165
-144.278923,387.755419,-14.4278923
-146.871807,383.48378,-14.6871807
-149.518158,379.245049,-14.9518158
-152.200684,375.029213,-15.2200684
-154.898819,370.823401,-15.4898819
-157.592713,366.614869,-15.7592713
-160.265227,362.392868,-16.0265227
-162.899836,358.147185,-16.2899836
-165.47833,353.867244,-16.547833
-167.979199,349.54155,-16.7979199
-170.378993,345.158994,-17.0378993
-172.653438,340.710093,-17.2653438
-174.777595,336.187506,-17.4777595
-176.7305,331.588852,-17.67305
-178.506013,326.918873,-17.8506013
-180.107708,322.18593,-18.0107708
-181.542269,317.399606,-18.1542269
-182.817314,312.568439,-18.2817314
-183.940498,307.699726,-18.3940498
-184.919928,302.80001,-18.4919928
-185.76303,297.874901,-18.576303
-186.473215,292.928793,-18.6473215
-187.049562,287.965378,-18.7049562
-187.49134,282.988363,-18.749134
-187.80521,278.001473,-18.780521
-188.005643,273.008557,-18.8005643
-188.108571,268.01286,-18.8108571
-188.126366,263.016232,-18.8126366
-188.066372,258.019794,-18.8066372
-187.933988,253.024711,-18.7933988
-187.73492,248.03187,-18.773492
-187.474851,243.041805,-18.7474851
-187.159418,238.054927,-18.7159418
-186.794245,233.071439,-18.6794245
-186.384916,228.091373,-18.6384916
-185.936894,223.114654,-18.5936894
-185.455316,218.141123,-18.5455316
-184.946187,213.170383,-18.4946187
-184.418448,208.201557,-18.4418448
-183.881797,203.23364,-18.3881797
-183.341479,198.266113,-18.3341479
-182.799264,193.298795,-18.2799264
-182.256297,188.331556,-18.2256297
-181.713715,183.364276,-18.1713715
-181.172653,178.39683,-18.1172653
-180.634248,173.429096,-18.0634248
-180.099635,168.460953,-18.0099635
-179.569951,163.492276,-17.9569951
-179.046335,158.522972,-17.9046335
-178.529306,153.552958,-17.8529306
-178.010234,148.583158,-17.8010234
-177.447876,143.61861,-17.7447876
-176.776475,138.667995,-17.6776475
-175.943322,133.741014,-17.5943322
-174.918939,128.849186,-17.4918939
-173.680843,124.007053,-17.3680843
-172.204851,119.231939,-17.2204851
-170.466901,114.547567,-17.0466901
-168.441557,109.980557,-16.8441557
-166.100834,105.567143,-16.6100834
-163.414575,101.362732,-16.3414575
-160.359636,97.406221,-16.0359636
-156.914772,93.794525,-15.6914772
-153.029531,90.668112,-15.3029531
-148.787627,88.020497,-14.8787627
-144.333571,85.755925,-14.4333571
-139.739966,83.793531,-13.9739966
-135.061283,82.03665,-13.5061283
-130.346787,80.379687,-13.0346787
-125.638247,78.705844,-12.5638247
-120.980669,76.896291,-12.0980669
-116.424953,74.844394,-11.6424953
-112.031331,72.467468,-11.2031331
-107.853755,69.731626,-10.7853755
-103.916457,66.658366,-10.3916457
-100.227733,63.289,-10.0227733
-96.783398,59.669796,-9.6783398
-93.551488,55.859293,-9.3551488
-90.483099,51.915605,-9.0483099
-87.52429,47.888934,-8.752429
-84.617704,43.824336,-8.4617704
-81.704401,39.764484,-8.1704401
-78.723504,35.7542,-7.8723504
-75.6232,31.83589,-7.56232
-72.364261,28.048913,-7.2364261
-68.902755,24.446627,-6.8902755
-65.210726,21.080995,-6.5210726
-61.300907,17.971034,-6.1300907
-57.199985,15.117527,-5.7199985
-52.934777,12.51573,-5.2934777
-48.52988,10.15791,-4.852988
-44.007178,8.034616,-4.4007178
-39.387797,6.13053,-3.9387797
-34.69351,4.419101,-3.469351
-29.942829,2.870756,-2.9942829
-25.150358,1.45682,-2.5150358
-20.325048,0.159263,-2.0325048
-15.473628,-1.037082,-1.5473628
-10.601758,-2.147293,-1.0601758
-5.714096,-3.185868,-0.5714096
